id;names;last_names;email;password;phone;celphone;date;sex_type;state
1;Asistente;Market;Irene63@hotmail.com;Bedfordshire Ergonómico;88056;30527;2022-05-17;FEMALE;ACTIVE
2;Auto;experiences;Barbara_Zamora54@gmail.com;alarm multi-byte;43816;52315;2022-05-17;MALE;ACTIVE
3;users;Normas Ladrillo Implementación;Sancho67@hotmail.com;emulación Lilangeni Acero;78548;65488;2022-05-16;MALE;INACTIVE
4;Enfocado;quantifying transmit;Joaqun.Arriaga3@yahoo.com;Renminbi Amarillo;77121;70007;2022-05-17;FEMALE;INACTIVE
5;initiatives Violeta;benchmark invoice Atún;Daniela_Tamez@yahoo.com;Barrio Loan Ergonómico;25508;73280;2022-05-16;MALE;INACTIVE
6;Chad;Canada Morado;Horacio_Rangel@hotmail.com;Dinánmico;82805;82592;2022-05-17;FEMALE;ACTIVE
7;UIC-Franc;Camiseta Granito;Claudio.Barrios@gmail.com;aplicación matrix Zapatos;83337;22708;2022-05-16;FEMALE;ACTIVE
8;multitarea;Account;JosEmilio84@yahoo.com;International;14541;2610;2022-05-17;MALE;INACTIVE
9;Parafarmacia;Comunicaciones;Hernn_Ybarra@hotmail.com;SAS Personal Dinamarca;95683;57952;2022-05-17;FEMALE;INACTIVE
10;Humano New;haptic Inversor Cambridgeshire;JulioCsar75@gmail.com;Chile quantify generating;75531;7327;2022-05-17;MALE;INACTIVE
